iter	Logloss
912	0.1404518802
913	0.1403355296
914	0.1400495503
915	0.1400147488
916	0.1399764876
917	0.1398781139
918	0.1398366756
919	0.1398145714
920	0.1395591506
921	0.139227651
922	0.1392040801
923	0.1391805556
924	0.1391457212
925	0.1390170427
926	0.1388645436
927	0.1386923789
928	0.1384990643
929	0.1381377992
930	0.1380299363
931	0.1379583827
932	0.137856392
933	0.1376092952
934	0.1371953671
935	0.1368285614
936	0.1366341437
937	0.1365179317
938	0.1364968026
939	0.1364712499
940	0.1362509818
941	0.1360938601
942	0.1358271858
943	0.1356775593
944	0.1354771792
945	0.1353812322
946	0.1353214725
947	0.135043432
948	0.1347986424
949	0.1345316338
950	0.1344983474
951	0.1344062714
952	0.1341732006
953	0.134056927
954	0.1339210607
955	0.1338004675
956	0.1337243842
957	0.1334958426
958	0.133281139
959	0.1332554472
960	0.1329833564
961	0.1328282383
962	0.1325160359
963	0.1324258397
964	0.1323438986
965	0.1323013739
966	0.1322404747
967	0.1321586175
968	0.1318427116
969	0.1318186421
970	0.1316882821
971	0.131537797
972	0.1313016309
973	0.1310416986
974	0.130972156
975	0.1308128547
976	0.1305144988
977	0.1302728497
978	0.1301780755
979	0.1300680553
980	0.1297191543
981	0.1296992292
982	0.1295539768
983	0.1294185063
984	0.1292810131
985	0.1290983078
986	0.1287918268
987	0.1285456114
988	0.1282326495
989	0.1281930856
990	0.1281255607
991	0.1279315066
992	0.1277315185
993	0.1276892772
994	0.1276709866
995	0.1276513145
996	0.1276254367
997	0.1274659804
998	0.1272511654
999	0.127032057
